-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,178,184,184,184,184,184,184,184,184,184,184,184,184,180,-1,-1,-1,-1,-1,188,184,184,184,184,184,184,184,184,184,184,184,184,179,-1
-1,176,-1,48,-1,-1,-1,-1,51,49,-1,-1,225,225,225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,176,-1
-1,176,560,560,560,560,560,560,560,560,560,-1,225,225,225,-1,-1,-1,-1,-1,-1,45,-1,48,-1,-1,-1,67,-1,-1,939,940,-1,176,-1
-1,176,568,568,568,568,568,568,568,568,568,-1,233,302,233,-1,-1,-1,-1,-1,51,49,49,52,48,45,-1,-1,-1,67,947,948,-1,176,-1
-1,176,576,576,576,576,576,576,576,576,576,-1,-1,-1,-1,48,-1,-1,-1,52,-1,-1,-1,-1,-1,-1,-1,68,-1,-1,-1,172,-1,176,-1
-1,176,584,584,584,584,584,584,584,584,584,-1,-1,-1,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,68,-1,67,-1,176,-1
-1,176,368,375,369,369,371,372,369,375,370,-1,52,49,-1,49,-1,-1,-1,-1,-1,-1,-1,48,-1,-1,-1,-1,-1,-1,68,-1,51,176,-1
-1,176,376,383,377,377,379,380,377,383,378,-1,48,48,52,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,-1,-1,51,-1,-1,-1,176,-1
-1,176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,-1,-1,-1,-1,-1,-1,72,73,561,561,561,561,561,561,561,561,561,74,52,176,-1
-1,176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,-1,569,569,569,569,569,569,569,569,569,82,-1,176,-1
-1,176,152,153,153,153,153,154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,-1,80,-1,577,577,577,577,577,577,577,577,577,82,49,176,-1
-1,176,168,169,169,169,169,170,-1,-1,-1,-1,48,48,-1,-1,-1,-1,-1,-1,80,51,585,585,585,585,585,585,585,585,585,82,-1,176,-1
-1,176,227,152,153,153,153,153,154,-1,49,-1,52,-1,52,-1,-1,-1,-1,45,80,48,528,535,529,529,529,561,561,561,561,82,48,176,-1
-1,176,226,168,169,169,169,169,170,-1,-1,-1,51,49,48,-1,-1,-1,-1,49,80,-1,536,543,537,537,537,569,569,569,569,82,-1,176,-1
-1,176,52,72,73,73,73,73,73,73,73,73,73,74,48,-1,-1,-1,49,-1,80,-1,-1,-1,228,-1,-1,577,577,577,577,82,51,176,-1
-1,176,-1,80,184,184,560,560,560,560,560,560,184,82,-1,-1,-1,-1,52,-1,88,89,-1,-1,90,0,0,585,585,585,585,82,-1,176,-1
-1,176,-1,80,-1,-1,568,568,568,568,568,568,-1,82,45,49,-1,-1,-1,-1,104,105,337,337,106,80,49,528,529,529,530,82,-1,176,-1
-1,176,-1,80,-1,-1,576,576,576,576,576,576,48,82,-1,-1,-1,-1,-1,48,-1,-1,-1,-1,-1,80,-1,536,537,537,538,82,48,176,-1
-1,176,49,80,48,-1,584,584,584,584,584,584,-1,82,-1,230,231,-1,-1,48,-1,-1,-1,-1,-1,88,-1,-1,-1,-1,-1,90,-1,176,-1
-1,176,48,80,52,48,368,369,369,369,375,370,-1,82,-1,238,239,-1,-1,-1,-1,-1,-1,-1,52,104,105,105,105,105,105,106,49,176,-1
-1,176,51,80,49,48,376,377,377,377,383,378,48,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,49,-1,-1,-1,-1,-1,-1,-1,-1,176,-1
-1,176,48,80,51,52,52,-1,-1,-1,-1,-1,-1,90,-1,-1,-1,-1,-1,886,887,909,909,909,909,909,909,-1,560,560,560,560,560,176,-1
-1,176,-1,80,49,49,48,52,-1,48,-1,-1,-1,1075,4,-1,-1,-1,-1,894,895,917,917,917,917,917,917,-1,560,560,560,560,560,176,-1
-1,176,45,88,89,89,89,89,89,89,89,89,-1,74,0,-1,-1,49,-1,902,903,933,925,925,925,925,933,-1,568,568,568,568,568,176,-1
